# sector, camera, chip, corner
1, 1, 1, 1
1, 1, 2, 3
1, 1, 3, 1
1, 1, 4, 3
1, 2, 1, 1
1, 2, 2, 3
1, 2, 3, 1
1, 2, 4, 3
1, 3, 1, 1
1, 3, 2, 3
1, 3, 3, 1
1, 3, 4, 3
1, 4, 1, 1
1, 4, 2, 3
1, 4, 3, 1
1, 4, 4, 3
2, 1, 1, 1
2, 1, 2, 3
2, 1, 3, 1
2, 1, 4, 3
2, 2, 1, 1
2, 2, 2, 3
2, 2, 3, 1
2, 2, 4, 3
2, 3, 1, 1
2, 3, 2, 3
2, 3, 3, 1
2, 3, 4, 3
2, 4, 1, 1
2, 4, 2, 3
2, 4, 3, 1
2, 4, 4, 3
3, 1, 1, 1
3, 1, 2, 3
3, 1, 3, 1
3, 1, 4, 3
3, 2, 1, 1
3, 2, 2, 3
3, 2, 3, 1
3, 2, 4, 3
3, 3, 1, 1
3, 3, 2, 3
3, 3, 3, 1
3, 3, 4, 3
3, 4, 1, 1
3, 4, 2, 3
3, 4, 3, 1
3, 4, 4, 3
4, 1, 1, 1
4, 1, 2, 3
4, 1, 3, 1
4, 1, 4, 3
4, 2, 1, 1
4, 2, 2, 3
4, 2, 3, 1
4, 2, 4, 3
4, 3, 1, 1
4, 3, 2, 3
4, 3, 3, 1
4, 3, 4, 3
4, 4, 1, 1
4, 4, 2, 3
4, 4, 3, 1
4, 4, 4, 3
5, 1, 1, 1
5, 1, 2, 3
5, 1, 3, 1
5, 1, 4, 3
5, 2, 1, 1
5, 2, 2, 3
5, 2, 3, 1
5, 2, 4, 3
5, 3, 1, 1
5, 3, 2, 3
5, 3, 3, 1
5, 3, 4, 3
5, 4, 1, 1
5, 4, 2, 3
5, 4, 3, 1
5, 4, 4, 3
# this is the Orion nebula/solar system artifact in the whole sector.
# don't try to replace, just makes it look worse.
# 6, 1, 1, 1
6, 1, 2, 3
6, 1, 3, 1
6, 1, 4, 3
6, 2, 1, 1
6, 2, 2, 3
6, 2, 3, 1
6, 2, 4, 3
6, 3, 1, 1
6, 3, 2, 3
6, 3, 3, 1
6, 3, 4, 3
6, 4, 1, 1
6, 4, 2, 3
6, 4, 3, 1
6, 4, 4, 3
7, 1, 1, 1
7, 1, 2, 3
7, 1, 3, 1
7, 1, 4, 3
7, 2, 1, 1
7, 2, 2, 3
7, 2, 3, 1
7, 2, 4, 3
7, 3, 1, 1
7, 3, 2, 3
7, 3, 3, 1
7, 3, 4, 3
7, 4, 1, 1
7, 4, 2, 3
7, 4, 3, 1
7, 4, 4, 3
8, 1, 1, 1
8, 1, 2, 3
8, 1, 3, 1
8, 1, 4, 3
8, 2, 1, 1
8, 2, 2, 3
8, 2, 3, 1
8, 2, 4, 3
8, 3, 1, 1
8, 3, 2, 3
8, 3, 3, 1
8, 3, 4, 3
8, 4, 1, 1
8, 4, 2, 3
8, 4, 3, 1
8, 4, 4, 3
9, 1, 1, 1
9, 1, 2, 3
9, 1, 3, 1
9, 1, 4, 3
9, 2, 1, 1
9, 2, 2, 3
9, 2, 3, 1
9, 2, 4, 3
9, 3, 1, 1
9, 3, 2, 3
9, 3, 3, 1
9, 3, 4, 3
9, 4, 1, 1
9, 4, 2, 3
9, 4, 3, 1
9, 4, 4, 3
10, 1, 1, 1
10, 1, 2, 3
10, 1, 3, 1
10, 1, 4, 3
10, 2, 1, 1
10, 2, 2, 3
10, 2, 3, 1
10, 2, 4, 3
10, 3, 1, 1
10, 3, 2, 3
10, 3, 3, 1
10, 3, 4, 3
10, 4, 1, 1
10, 4, 2, 3
10, 4, 3, 1
10, 4, 4, 3
11, 1, 1, 1
11, 1, 2, 3
11, 1, 3, 1
11, 1, 4, 3
11, 2, 1, 1
11, 2, 2, 3
11, 2, 3, 1
11, 2, 4, 3
11, 3, 1, 1
11, 3, 2, 3
11, 3, 3, 1
11, 3, 4, 3
11, 4, 1, 1
11, 4, 2, 3
11, 4, 3, 1
11, 4, 4, 3
12, 1, 1, 1
12, 1, 2, 3
12, 1, 3, 1
12, 1, 4, 3
12, 2, 1, 1
12, 2, 2, 3
12, 2, 3, 1
12, 2, 4, 3
12, 3, 1, 1
12, 3, 2, 3
12, 3, 3, 1
12, 3, 4, 3
12, 4, 1, 1
12, 4, 2, 3
12, 4, 3, 1
12, 4, 4, 3
13, 1, 1, 1
13, 1, 2, 3
13, 1, 3, 1
13, 1, 4, 3
13, 2, 1, 1
13, 2, 2, 3
13, 2, 3, 1
13, 2, 4, 3
13, 3, 1, 1
13, 3, 2, 3
13, 3, 3, 1
13, 3, 4, 3
13, 4, 1, 1
13, 4, 2, 3
13, 4, 3, 1
13, 4, 4, 3
