# sector, camera, chip, adjustment (>1 removes extra strong corner glow)
1, 1, 2, 2
1, 1, 3, 1.4
1, 1, 1, 1.3
1, 1, 4, 1.3
1, 2, 4, 1.3
2, 1, 3, 1.4
2, 1, 4, 1.3
3, 1, 3, 1.4
3, 1, 4, 1.3
4, 1, 3, 1.4
4, 1, 4, 1.3
5, 1, 2, 1.5
5, 1, 3, 1.5
5, 1, 4, 1.3
5, 2, 3, 1.5
6, 1, 2, 1.6
6, 1, 3, 1.3
6, 1, 4, 1.3
6, 2, 3, 1.7
7, 1, 3, 1.3
7, 1, 4, 1.3
7, 1, 1, 1.6
7, 2, 4, 1.7
7, 3, 2, 1.6
8, 1, 3, 1.2
8, 1, 4, 1.2
8, 2, 1, 1.8
8, 2, 4, 1.4
8, 3, 2, 2
9, 1, 3, 1.2
9, 1, 4, 1.1
9, 2, 1, 1.8
9, 3, 2, 1.8
10, 1, 3, 1.3
10, 1, 4, 1.2
10, 2, 1, 2.3
10, 3, 2, 1.8
10, 3, 3, 1.3
10, 4, 2, 1.5
10, 4, 3, 1.5
10, 4, 4, 1.5
11, 1, 1, 1.5
11, 1, 2, 2.2
11, 1, 3, 1.4
11, 1, 4, 1.3
11, 2, 1, 2.3
11, 2, 3, 1.8
11, 2, 4, 1.3
11, 3, 2, 1.25
11, 3, 3, 1.4
11, 4, 2, 1.4
11, 4, 4, 1.3
12, 1, 1, 2.
12, 1, 2, 1.5
12, 1, 3, 1.4
12, 1, 4, 1.4
12, 2, 1, 4.
12, 2, 3, 1.7
12, 2, 4, 2.
12, 3, 2, 6.
12, 3, 3, 1.4
12, 4, 2, 1.4
12, 4, 3, 1.3
13, 1, 1, 1.9
13, 1, 2, 1.2
13, 1, 3, 1.4
13, 1, 4, 1.5
13, 2, 1, 1.4
13, 2, 3, 1.2
13, 2, 4, 3.
13, 3, 2, 1.4
13, 3, 3, 1.2
13, 4, 2, 1.2
13, 4, 3, 1.4
14, 1, 1, 1.
14, 1, 2, 1.
14, 1, 3, 1.
14, 1, 4, 1.
14, 2, 1, 1.
14, 2, 2, 1.
14, 2, 3, 1.
14, 2, 4, 1.
14, 3, 1, 1.
14, 3, 2, 1.
14, 3, 3, 1.
14, 3, 4, 1.
14, 4, 1, 1.
14, 4, 2, 1.
14, 4, 3, 1.3
14, 4, 4, 1.
15, 1, 1, 1.
15, 1, 2, 1.5
15, 1, 3, 2
15, 1, 4, 1.
15, 2, 1, 1.
15, 2, 2, 1.
15, 2, 3, 3.5
15, 2, 4, 1.
15, 3, 1, 1.
15, 3, 2, 1.
15, 3, 3, 1.
15, 3, 4, 0.7
15, 4, 1, 1.
15, 4, 2, 1.
15, 4, 3, 1.5
15, 4, 4, 1.
16, 1, 1, 1.
16, 1, 2, 1.9
16, 1, 3, 1.5
16, 1, 4, 1.
16, 2, 1, 1.
16, 2, 2, 1.
16, 2, 3, 1.4
16, 2, 4, 1.
16, 3, 1, 1.
16, 3, 2, 1.
16, 3, 3, 1.
16, 3, 4, 1.
16, 4, 1, 1.
16, 4, 2, 1.
16, 4, 3, 1.3
16, 4, 4, 1.
17, 1, 1, 1.
17, 1, 2, 1.
17, 1, 3, 1.
17, 1, 4, 1.
17, 2, 1, 1.
17, 2, 2, 1.7
17, 2, 3, 1.
17, 2, 4, 1.
17, 3, 1, 1.
17, 3, 2, 1.
17, 3, 3, 1.
17, 3, 4, 1.6
17, 4, 1, 1.5
17, 4, 2, 1.
17, 4, 3, 1.
17, 4, 4, 1.
18, 1, 1, 1.4
18, 1, 2, 1.
18, 1, 3, 1.
18, 1, 4, 1.
18, 2, 1, 1.
18, 2, 2, 2.3
18, 2, 3, 1.
18, 2, 4, 1.5
18, 3, 1, 2.1
18, 3, 2, 1.
18, 3, 3, 1.
18, 3, 4, 1.
18, 4, 1, 1.
18, 4, 2, 0.5
18, 4, 3, 0.7
18, 4, 4, 1.
19, 1, 1, 1.
19, 1, 2, 1.5
19, 1, 3, 1.
19, 1, 4, 1.
19, 2, 1, 1.
19, 2, 2, 1.
19, 2, 3, 1.5
19, 2, 4, 1.
19, 3, 1, 1.
19, 3, 2, 1.
19, 3, 3, 1.
19, 3, 4, 1.
19, 4, 1, 1.
19, 4, 2, 1.
19, 4, 3, 1.
19, 4, 4, 1.
20, 1, 1, 1.
20, 1, 2, 1.
20, 1, 3, 1.3
20, 1, 4, 1.
20, 2, 1, 1.
20, 2, 2, 1.
20, 2, 3, 1.5
20, 2, 4, 1.
20, 3, 1, 1.
20, 3, 2, 1.
20, 3, 3, 1.
20, 3, 4, 1.
20, 4, 1, 1.
20, 4, 2, 1.
20, 4, 3, 1.
20, 4, 4, 1.
21, 1, 1, 1.
21, 1, 2, 1.
21, 1, 3, 1.
21, 1, 4, 1.
21, 2, 1, 1.
21, 2, 2, 1.
21, 2, 3, 1.
21, 2, 4, 1.
21, 3, 1, 1.
21, 3, 2, 1.
21, 3, 3, 1.
21, 3, 4, 1.
21, 4, 1, 1.
21, 4, 2, 1.
21, 4, 3, 1.
21, 4, 4, 1.
22, 1, 1, 1.
22, 1, 2, 1.
22, 1, 3, 1.
22, 1, 4, 1.
22, 2, 1, 1.
22, 2, 2, 1.
22, 2, 3, 1.
22, 2, 4, 1.
22, 3, 1, 1.
22, 3, 2, 1.
22, 3, 3, 1.
22, 3, 4, 1.
22, 4, 1, 1.
22, 4, 2, 1.
22, 4, 3, 1.
22, 4, 4, 1.
23, 1, 1, 1.
23, 1, 2, 1.
23, 1, 3, 1.
23, 1, 4, 1.
23, 2, 1, 1.
23, 2, 2, 1.
23, 2, 3, 1.
23, 2, 4, 1.
23, 3, 1, 1.
23, 3, 2, 1.
23, 3, 3, 1.
23, 3, 4, 1.
23, 4, 1, 1.
23, 4, 2, 1.
23, 4, 3, 1.
23, 4, 4, 1.
24, 1, 1, 1.
24, 1, 2, 1.
24, 1, 3, 1.
24, 1, 4, 1.
24, 2, 1, 1.
24, 2, 2, 1.
24, 2, 3, 1.
24, 2, 4, 1.
24, 3, 1, 1.
24, 3, 2, 1.
24, 3, 3, 1.7
24, 3, 4, 1.
24, 4, 1, 1.
24, 4, 2, 1.
24, 4, 3, 1.
24, 4, 4, 1.8
25, 1, 1, 1.
25, 1, 2, 1.
25, 1, 3, 1.
25, 1, 4, 1.
25, 2, 1, 1.
25, 2, 2, 1.
25, 2, 3, 1.
25, 2, 4, 1.
25, 3, 1, 1.
25, 3, 2, 1.
25, 3, 3, 1.5
25, 3, 4, 1.
25, 4, 1, 1.
25, 4, 2, 1.
25, 4, 3, 1.4
25, 4, 4, 1.
26, 1, 1, 1.
26, 1, 2, 1.
26, 1, 3, 1.
26, 1, 4, 3.
26, 2, 1, 1.
26, 2, 2, 1.
26, 2, 3, 1.
26, 2, 4, 1.
26, 3, 1, 1.
26, 3, 2, 1.
26, 3, 3, 1.
26, 3, 4, 1.
26, 4, 1, 1.
26, 4, 2, 1.
26, 4, 3, 2.
26, 4, 4, 1.
27, 1, 1, 1.
27, 1, 2, 1.
27, 1, 3, 1.
27, 1, 4, 1.
27, 2, 1, 1.
27, 2, 2, 1.
27, 2, 3, 1.
27, 2, 4, 1.
27, 3, 1, 1.
27, 3, 2, 1.
27, 3, 3, 1.
27, 3, 4, 1.
27, 4, 1, 1.
27, 4, 2, 1.
27, 4, 3, 1.
27, 4, 4, 1.
28, 1, 1, 1.
28, 1, 2, 1.
28, 1, 3, 1.
28, 1, 4, 1.
28, 2, 1, 1.
28, 2, 2, 1.
28, 2, 3, 1.
28, 2, 4, 1.
28, 3, 1, 1.
28, 3, 2, 1.
28, 3, 3, 1.
28, 3, 4, 1.
28, 4, 1, 1.
28, 4, 2, 1.
28, 4, 3, 1.
28, 4, 4, 1.
29, 1, 1, 1.
29, 1, 2, 1.
29, 1, 3, 1.
29, 1, 4, 1.
29, 2, 1, 1.
29, 2, 2, 1.
29, 2, 3, 1.
29, 2, 4, 1.
29, 3, 1, 1.
29, 3, 2, 1.
29, 3, 3, 1.
29, 3, 4, 1.
29, 4, 1, 1.
29, 4, 2, 1.
29, 4, 3, 1.
29, 4, 4, 1.
30, 1, 1, 1.
30, 1, 2, 1.
30, 1, 3, 1.
30, 1, 4, 1.
30, 2, 1, 1.
30, 2, 2, 1.
30, 2, 3, 1.
30, 2, 4, 1.
30, 3, 1, 1.
30, 3, 2, 1.
30, 3, 3, 1.
30, 3, 4, 1.
30, 4, 1, 1.
30, 4, 2, 1.
30, 4, 3, 1.
30, 4, 4, 1.
31, 1, 1, 1.
31, 1, 2, 1.
31, 1, 3, 1.
31, 1, 4, 1.
31, 2, 1, 1.
31, 2, 2, 1.
31, 2, 3, 1.
31, 2, 4, 1.
31, 3, 1, 1.
31, 3, 2, 1.
31, 3, 3, 1.
31, 3, 4, 1.
31, 4, 1, 1.
31, 4, 2, 1.
31, 4, 3, 1.
31, 4, 4, 1.
32, 1, 1, 1.
32, 1, 2, 1.
32, 1, 3, 1.
32, 1, 4, 1.
32, 2, 1, 1.
32, 2, 2, 1.
32, 2, 3, 1.
32, 2, 4, 1.
32, 3, 1, 1.
32, 3, 2, 1.
32, 3, 3, 1.
32, 3, 4, 1.
32, 4, 1, 1.
32, 4, 2, 1.
32, 4, 3, 1.
32, 4, 4, 1.
33, 1, 1, 1.
33, 1, 2, 1.
33, 1, 3, 1.
33, 1, 4, 1.
33, 2, 1, 1.
33, 2, 2, 1.
33, 2, 3, 1.
33, 2, 4, 1.
33, 3, 1, 1.
33, 3, 2, 1.
33, 3, 3, 1.
33, 3, 4, 1.
33, 4, 1, 1.
33, 4, 2, 1.
33, 4, 3, 1.
33, 4, 4, 1.
34, 1, 1, 1.
34, 1, 2, 1.
34, 1, 3, 1.
34, 1, 4, 1.
34, 2, 1, 1.
34, 2, 2, 1.
34, 2, 3, 1.
34, 2, 4, 1.
34, 3, 1, 1.
34, 3, 2, 1.
34, 3, 3, 1.
34, 3, 4, 1.
34, 4, 1, 1.
34, 4, 2, 1.
34, 4, 3, 1.
34, 4, 4, 1.
35, 1, 1, 1.
35, 1, 2, 1.
35, 1, 3, 1.
35, 1, 4, 1.
35, 2, 1, 1.
35, 2, 2, 1.
35, 2, 3, 1.
35, 2, 4, 1.
35, 3, 1, 1.
35, 3, 2, 1.
35, 3, 3, 1.
35, 3, 4, 1.
35, 4, 1, 1.
35, 4, 2, 1.
35, 4, 3, 1.
35, 4, 4, 1.
36, 1, 1, 1.
36, 1, 2, 1.
36, 1, 3, 1.
36, 1, 4, 1.
36, 2, 1, 1.
36, 2, 2, 1.
36, 2, 3, 1.
36, 2, 4, 1.
36, 3, 1, 1.
36, 3, 2, 1.
36, 3, 3, 1.
36, 3, 4, 1.
36, 4, 1, 1.
36, 4, 2, 1.
36, 4, 3, 1.
36, 4, 4, 1.
37, 1, 1, 1.
37, 1, 2, 1.
37, 1, 3, 1.
37, 1, 4, 1.
37, 2, 1, 1.
37, 2, 2, 1.
37, 2, 3, 1.
37, 2, 4, 1.
37, 3, 1, 1.
37, 3, 2, 1.
37, 3, 3, 1.
37, 3, 4, 1.
37, 4, 1, 1.
37, 4, 2, 1.
37, 4, 3, 1.
37, 4, 4, 1.
38, 1, 1, 1.
38, 1, 2, 1.
38, 1, 3, 1.
38, 1, 4, 1.
38, 2, 1, 1.
38, 2, 2, 1.
38, 2, 3, 1.
38, 2, 4, 1.
38, 3, 1, 1.
38, 3, 2, 1.
38, 3, 3, 1.
38, 3, 4, 1.
38, 4, 1, 1.
38, 4, 2, 1.
38, 4, 3, 1.
38, 4, 4, 1.
39, 1, 1, 1.
39, 1, 2, 1.
39, 1, 3, 1.
39, 1, 4, 1.
39, 2, 1, 1.
39, 2, 2, 1.
39, 2, 3, 1.
39, 2, 4, 1.
39, 3, 1, 1.
39, 3, 2, 1.
39, 3, 3, 1.
39, 3, 4, 1.
39, 4, 1, 1.
39, 4, 2, 1.
39, 4, 3, 1.
39, 4, 4, 1.
