TIC ID,TOI,Previous CTOI,Master,SG1A,SG1B,SG2,SG3,SG4,SG5,ESM,TSM,Time Series Observations,Spectroscopy Observations,Imaging Observations,TESS Disposition,TFOPWG Disposition,TESS Mag,TESS Mag err,Planet Name,Pipeline Signal ID,Source,Detection,RA,Dec,PM RA (mas/yr),PM RA err (mas/yr),PM Dec (mas/yr),PM Dec err (mas/yr),Epoch (BJD),Epoch (BJD) err,Period (days),Period (days) err,Duration (hours),Duration (hours) err,Depth (mmag),Depth (mmag) err,Depth (ppm),Depth (ppm) err,Planet Radius (R_Earth),Planet Radius (R_Earth) err,Planet Insolation (Earth Flux),Planet Equil Temp (K),Planet SNR,Stellar Distance (pc),Stellar Distance (pc) err,Stellar Eff Temp (K),Stellar Eff Temp (K) err,Stellar log(g) (cm/s^2),Stellar log(g) (cm/s^2) err,Stellar Radius (R_Sun),Stellar Radius (R_Sun) err,Stellar Metallicity,Stellar Metallicity err,Stellar Mass (M_Sun),Stellar Mass (M_Sun) err,Sectors,Date TOI Alerted (UTC),Date TOI Updated (UTC),Date Modified,Comments
231663901,101.01,,5,5,5,5,5,5,5,87.6,211.2,0,1,3,KP,KP,12.4069,0.006,,1,spoc,UNKNOWN,21:14:56.88,-55:52:18.71,12.641,0.044,-16.011,0.041,2459036.904104,0.0003926639,1.43036914033977,0.0000009228199,1.64387283171534,0.018756187,20.994855,0.2144,19151.2162143199,197.45049,13.2504933448192,.66068995,1281.24179196536,1525.90509667994,109.60649,375.31,4.411,5600,,4.48851,,.890774011611938,.0438467,,,1.05,.129454,"1,27",2018-09-05,2021-10-07,2022-08-19 12:55:35,"WASP-46 b"
149603524,102.01,,5,5,5,5,5,5,5,132.7,169.9,1,2,1,KP,KP,9.7109,0.006,,1,qlp,UNKNOWN,05:48:33.56,-63:59:17.98,-15.641,0.037,26.046,0.037,2459384.943122,0.0013867,4.4119288,0.0000158,3.894,0.08,16.177972,0.00117,14790,1.07767,15.2023,.692849,999.833,1566,863,175.631,.588,6280,,4.32092,,1.21,.05,0.24,0.05,1.28,.190812,"1,2,3,4,6,7,8,9,10,11,12,13,27,28,29,30,31,32,33,34,36,37,38,39",2019-05-07,2021-08-24,2022-08-19 12:55:35,"WASP 62 b"
336732616,103.01,,5,5,5,5,5,5,5,47.7,136.4,0,0,7,KP,KP,11.5232,0.008,,1,spoc,UNKNOWN,20:49:49.8,-24:25:43.3,10.426,0.07,15.62,0.051,2458327.25256,0.000586,3.547854,0.000149,3.494333,0.049205,11.377523,0.133944,10424.3718,123.359314,14.581841,.196435,1212.004376,1504.858953,59.5,411.211,7.752,6351,,4.22896,,1.4,,,,1.27,.196969,"1",2018-09-05,2020-10-27,2022-08-19 12:55:35,"HATS-3 b"
231670397,104.01,,5,5,5,5,5,5,5,52.4,122.6,1,0,3,KP,KP,9.8638,0.006,,1,spoc,UNKNOWN,21:19:47.93,-58:08:56.16,10.552,0.045,-10.658,0.043,2459038.863566,0.0009549599,4.08729939632711,0.0000041056146,5.5861130474761,0.050875474,3.885379,0.03875,3572.17124985973,35.689426,13.6237731764604,.65182334,2242.36054008399,1755.07673832663,48.678577,316.678,2.9655,6036,,3.93359,,2.21866989135742,.102573,,,1.16,.166129,"1,27",2018-09-05,2021-12-01,2022-08-19 12:55:35,"WASP-73 b"
144065872,105.01,,5,5,5,5,5,5,5,187.2,431.1,1,3,2,KP,KP,9.4995,0.006,,1,spoc-s01-s36-b0A-CPKP,UNKNOWN,22:29:49.88,-48:00:11.16,91.976,0.052,-6.861,0.069,2459084.58501,0.00011,2.18466694872065,0.0000004851188,2.86528001574358,0.009074817,12.786825,0.037924,11708.0228548887,34.928566,13.702852670325,.66197515,1362.1381428406,1549.44098010565,349.33414,137.544,.7905,5630,,4.37759,,1.23824000358582,.0596985,,,1.03,.127209,"1,28",2018-09-05,2021-12-08,2022-08-19 12:55:35,"WASP-95; epoch kept from qlp-s28-tois"
38846515,106.01,,5,5,5,5,5,5,5,88.7,107.5,1,0,3,KP,KP,10.3157,0.006,,1,qlp,UNKNOWN,04:35:50.36,-64:01:37.34,10.845,0.035,-0.499,0.052,2459386.715318,0.0004872,2.8493824,0.0000042,3.806,0.532,8.425347,0.000295,7730,.272068,16.4149,.742397,3854.88,2195,657,364.411,2.729,6900,,4.438,,1.77,.08,,,1.44,.243534,"1,2,3,4,5,6,7,8,9,10,11,12,13,27,28,29,30,31,32,33,34,35,36,37,38,39",2019-05-07,2021-08-26,2022-08-19 12:55:35,"WASP-100b"
92352620,107.01,,5,5,5,5,5,5,5,166,236.6,0,1,3,KP,KP,9.6433,0.006,,1,spoc,UNKNOWN,20:55:07.98,-34:08:08.7,26.376,0.078,-44.947,0.059,2459039.335846,0.00038635198,3.95020094278708,0.000001600228,4.56436423242551,0.018132707,14.00227,0.064564,12813.762930751,59.46348,19.7058959371285,.8632607,1364.08984021221,1549.99569924754,201.10165,211.211,2.4835,6153,,4.18077,,1.71036005020142,.074613,0.22,0.1,1.14,.150731,"1,27",2018-09-05,2021-10-07,2022-08-17 12:08:12,"WASP-94 A b"
289793076,108.01,,5,5,5,5,5,5,5,39.1,115.6,0,0,4,KP,KP,13.163,0.01,,1,spoc,SPOC,21:07:50.76,-26:05:48.19,3.479,0.063,-10.313,0.038,2458328.08383,0.0004391314,3.0440540665342,0.00000425771,2.59845748018295,0.061165422,24.414911,0.532696,22236.0165376302,490.51093,12.1086799407213,.2679916,315.987132647374,1075.31845422327,34.314007,421.855,8.339,5523,,4.52192,,.809867978096008,,,,.95,,"1,28",2018-09-05,2021-10-20,2022-08-17 12:08:12,"HATS-13 b"
29344935,109.01,,5,5,5,5,5,5,5,32.5,84.5,0,0,5,KP,KP,13.2366,0.007,,1,spoc,UNKNOWN,20:52:51.71,-25:41:14.55,1.053,0.052,-9.881,0.029,2458326.127889,0.00053233746,2.766747877062,0.0000045420184,2.59980826976837,0.082150556,16.248311,0.353657,14853.8243821185,325.67685,12.0222506977152,.39210835,505.886965355293,1209.57589092691,29.239107,513.011,9.1275,5346,,4.48823,,.98486602306366,,,,.93,,"1,28",2018-09-05,2021-12-02,2022-08-19 12:55:35,"HATS-14 b"
281459670,110.01,,5,5,5,5,5,5,5,66.2,71.2,0,0,1,KP,KP,11.6714,0.006,,1,spoc,UNKNOWN,00:22:28.45,-59:56:33.32,-22.309,0.036,-4.893,0.034,2458328.040318,0.000219277,3.17434739143305,0.000002150323,2.65151241654757,0.031354535,16.579229,0.180485,15154.0381610053,166.21867,14.4066832991886,.80587804,718.910615137806,1320.65224399378,74.55683,342.14,2.912,5943,,4.42524,,1.1570600271225,.0633669,-0.1,0.1,1.03,.12909,"1,2,28,29",2018-11-14,2021-12-03,2022-08-19 12:55:35,"HATS-30 b"
